region,health_score
Australian,47.39096064615914
Belgian,38.70754716981132
Canadian,44.77248282043621
Caribbean,53.86404234204433
Central American,51.112087912087915
Chinese and Mongolian,55.38773777173913
Deutschland ,41.04443415875954
Eastern European,43.25848981222533
French,43.85396078431373
Greek,59.857450370724706
Indian Subcontinent,58.52483366857496
Irish,40.95215500197707
Italian,57.95993725111621
Japanese,52.977450980392156
Korean,54.16167664670659
Mexican,58.65529175607393
Middle Eastern,57.86705942622951
Middle Eastern ,50.0
Northern Africa,63.32919254658385
Rest Africa,53.871120847024464
Scandinavian,35.942013518320884
South American,57.241110026495605
Southeast Asian,56.299484536082474
Spanish and Portuguese,58.802321491382344
Thai,59.71225509028044
UK,40.739080982711556
US,47.89771144278607
